,Date,Text
53,2021-01-27 18:01:06,"業績とは別ですからね。それにしても、これだけ売られれば、ある程度戻すと思いましたが、相変わらず閑散としてましたね。
少なくとも、情報の出し方がうまくない。仮に日経にリークするのが恒例になってるとしたら駄目ですよね。
とにかく、売り買いが薄いので、まだまだ↑にも↓にも動きそう。含み損も大きいので、朝の気配次第で一旦見切ります。"
54,2021-01-27 17:01:01,"業績良ければ決算後は上がると思っていたんだが。

マザーズでもないのにこの落ち込みようはないな。"
55,2021-01-27 16:00:05,"昨日の引けの売りといい機関投資家のおもちゃになってる
落ちるところまで落ちればいい
トップは老害だ"
56,2021-01-27 15:02:06,"20,000が抵抗線と思いたい。"
57,2021-01-27 15:00:01,"ありがとうございます。
悲しい1日…泣"
58,2021-01-27 14:05:07,"キリンも現物だけ
レバレッジをかけると負ける確率を増やすだけ
数年たったら今日1日の値幅は誤差範囲"
59,2021-01-27 14:03:08,今日、何かできる余力残してた方が賢いです。
60,2021-01-27 14:03:07,"現物なので、見守るだけです。
今日、買いに入れば良かった…泣"
61,2021-01-27 13:05:09,"微力だけど今日は頑張ったよ
アムロじゃないからそこはわからないけど
嫌な気分がする時は頑張り時だと思ってる"
62,2021-01-27 13:02:04,"経営者は日本中央競馬会の馬主でっせ（笑）17,800円が俺の邪道指数やで（笑）23,000円で利確したが、俺の指数で買うけどな（笑）競馬も株も爆発だよ（笑）"
63,2021-01-27 13:01:05,業績抜群で天下一品の月足チャート💹のここを揚げ足取りで悪名高い株探ニュースが決算マイナスインパクト銘柄に載せているので値を戻すのは、時間の問題と踏む
64,2021-01-27 13:01:04,"売り方みんな捕まえて上がってくれ‼︎
どこかの大口…味方にならないか…
戻すだけでも、美味しいよ‼︎"
65,2021-01-27 13:01:00,"売られる理由ないのに…こんなに売られ…

今日中に元の値段に戻れ‼︎
むしろ…上がれ‼︎"
66,2021-01-27 12:04:08,"当社　昭和が抜けきらない時代遅れ企業
もがく経営トップが必要"
67,2021-01-27 12:03:09,無能経営者
68,2021-01-27 12:03:03,買って寝てればいいだけなのに
69,2021-01-27 12:01:04,"落ち着いてる皆さん他はだいぶ投げ売ったでしょう。
私は気絶です。
半年くらい耐えようかと思っています…泣"
70,2021-01-27 12:01:03,ありがとうございます。
71,2021-01-27 12:00:01,うわー😱
72,2021-01-27 11:00:08,クラウド契約も伸びているし　しっかりした企業体質からみて　全く問題を感じません。売り手の一時的な売買に惑わされず　今後の確実な上昇を確信しています。目指せ30000円！
73,2021-01-27 10:05:08,"おーびっくり株価
経営者無能
資金調達不要"
74,2021-01-27 10:05:06,"株価対策皆無
CMだけ"
75,2021-01-27 10:05:05,ただ、もう買う資金がない〜
76,2021-01-27 10:05:04,御意~
77,2021-01-27 10:05:03,週足MACD やばすぎ
78,2021-01-27 10:05:00,"ポッと出の新興銘柄でもあるまいし、ドンと構えていて大丈夫。最高益更新に増配、超優良銘柄。目標株価24000。グッと下げれば買い。

投機じゃなくて、投資。"
